date,river,observed_water_level,imputed_mean,imputed_lower_95,imputed_upper_95,method
2000-01-01,Jiji,0.704516129032258,0.704516129032258,0.704516129032258,0.704516129032258,observed
2000-02-01,Jiji,0.7762068965517241,0.7762068965517241,0.7762068965517241,0.7762068965517241,observed
2000-03-01,Jiji,0.9074193548387096,0.9074193548387096,0.9074193548387096,0.9074193548387096,observed
2000-04-01,Jiji,0.8393333333333335,0.8393333333333335,0.8393333333333335,0.8393333333333335,observed
2000-05-01,Jiji,0.6032258064516127,0.6032258064516127,0.6032258064516127,0.6032258064516127,observed
2000-06-01,Jiji,0.5396666666666668,0.5396666666666668,0.5396666666666668,0.5396666666666668,observed
2000-07-01,Jiji,0.4912903225806452,0.4912903225806452,0.4912903225806452,0.4912903225806452,observed
2000-08-01,Jiji,0.3938709677419354,0.3938709677419354,0.3938709677419354,0.3938709677419354,observed
2000-09-01,Jiji,0.3436666666666665,0.3436666666666665,0.3436666666666665,0.3436666666666665,observed
2000-10-01,Jiji,0.4416129032258065,0.4416129032258065,0.4416129032258065,0.4416129032258065,observed
2000-11-01,Jiji,0.6479999999999999,0.6479999999999999,0.6479999999999999,0.6479999999999999,observed
2000-12-01,Jiji,0.8112903225806453,0.8112903225806453,0.8112903225806453,0.8112903225806453,observed
2001-01-01,Jiji,1.2851612903225809,1.2851612903225809,1.2851612903225809,1.2851612903225809,observed
2001-02-01,Jiji,0.8175,0.8175,0.8175,0.8175,observed
2001-03-01,Jiji,0.7700000000000001,0.7700000000000001,0.7700000000000001,0.7700000000000001,observed
2001-04-01,Jiji,1.0550000000000002,1.0550000000000002,1.0550000000000002,1.0550000000000002,observed
2001-05-01,Jiji,0.7393548387096773,0.7393548387096773,0.7393548387096773,0.7393548387096773,observed
2001-06-01,Jiji,0.5526666666666666,0.5526666666666666,0.5526666666666666,0.5526666666666666,observed
2001-07-01,Jiji,0.5109677419354839,0.5109677419354839,0.5109677419354839,0.5109677419354839,observed
2001-08-01,Jiji,0.4632258064516129,0.4632258064516129,0.4632258064516129,0.4632258064516129,observed
2001-09-01,Jiji,0.5186666666666667,0.5186666666666667,0.5186666666666667,0.5186666666666667,observed
2001-10-01,Jiji,0.5348387096774194,0.5348387096774194,0.5348387096774194,0.5348387096774194,observed
2001-11-01,Jiji,0.615,0.615,0.615,0.615,observed
2001-12-01,Jiji,0.6635483870967741,0.6635483870967741,0.6635483870967741,0.6635483870967741,observed
2002-01-01,Jiji,1.0477419354838708,1.0477419354838708,1.0477419354838708,1.0477419354838708,observed
2002-02-01,Jiji,0.7903571428571426,0.7903571428571426,0.7903571428571426,0.7903571428571426,observed
2002-03-01,Jiji,0.9799999999999998,0.9799999999999998,0.9799999999999998,0.9799999999999998,observed
2002-04-01,Jiji,1.0623333333333334,1.0623333333333334,1.0623333333333334,1.0623333333333334,observed
2002-05-01,Jiji,0.8987096774193548,0.8987096774193548,0.8987096774193548,0.8987096774193548,observed
2002-06-01,Jiji,0.6016666666666667,0.6016666666666667,0.6016666666666667,0.6016666666666667,observed
2002-07-01,Jiji,0.4909677419354842,0.4909677419354842,0.4909677419354842,0.4909677419354842,observed
2002-08-01,Jiji,0.437741935483871,0.437741935483871,0.437741935483871,0.437741935483871,observed
2002-09-01,Jiji,0.4146666666666668,0.4146666666666668,0.4146666666666668,0.4146666666666668,observed
2002-10-01,Jiji,0.4490322580645162,0.4490322580645162,0.4490322580645162,0.4490322580645162,observed
2002-11-01,Jiji,0.5693333333333334,0.5693333333333334,0.5693333333333334,0.5693333333333334,observed
2002-12-01,Jiji,0.6645161290322581,0.6645161290322581,0.6645161290322581,0.6645161290322581,observed
2003-01-01,Jiji,0.9451612903225808,0.9451612903225808,0.9451612903225808,0.9451612903225808,observed
2003-02-01,Jiji,0.7567857142857141,0.7567857142857141,0.7567857142857141,0.7567857142857141,observed
2003-03-01,Jiji,0.8590322580645162,0.8590322580645162,0.8590322580645162,0.8590322580645162,observed
2003-04-01,Jiji,0.9693333333333332,0.9693333333333332,0.9693333333333332,0.9693333333333332,observed
2003-05-01,Jiji,0.824516129032258,0.824516129032258,0.824516129032258,0.824516129032258,observed
2003-06-01,Jiji,0.6363333333333331,0.6363333333333331,0.6363333333333331,0.6363333333333331,observed
2003-07-01,Jiji,0.5306451612903225,0.5306451612903225,0.5306451612903225,0.5306451612903225,observed
2003-08-01,Jiji,0.4661290322580645,0.4661290322580645,0.4661290322580645,0.4661290322580645,observed
2003-09-01,Jiji,0.4569999999999999,0.4569999999999999,0.4569999999999999,0.4569999999999999,observed
2003-10-01,Jiji,0.52,0.52,0.52,0.52,observed
2003-11-01,Jiji,0.5043333333333334,0.5043333333333334,0.5043333333333334,0.5043333333333334,observed
2003-12-01,Jiji,0.7370967741935486,0.7370967741935486,0.7370967741935486,0.7370967741935486,observed
2004-01-01,Jiji,0.7196774193548388,0.7196774193548388,0.7196774193548388,0.7196774193548388,observed
2004-02-01,Jiji,0.756551724137931,0.756551724137931,0.756551724137931,0.756551724137931,observed
2004-03-01,Jiji,0.7945161290322579,0.7945161290322579,0.7945161290322579,0.7945161290322579,observed
2004-04-01,Jiji,1.038,1.038,1.038,1.038,observed
2004-05-01,Jiji,0.708709677419355,0.708709677419355,0.708709677419355,0.708709677419355,observed
2004-06-01,Jiji,0.5429999999999999,0.5429999999999999,0.5429999999999999,0.5429999999999999,observed
2004-07-01,Jiji,0.4596774193548384,0.4596774193548384,0.4596774193548384,0.4596774193548384,observed
2004-08-01,Jiji,0.415483870967742,0.415483870967742,0.415483870967742,0.415483870967742,observed
2004-09-01,Jiji,0.4736666666666666,0.4736666666666666,0.4736666666666666,0.4736666666666666,observed
2004-10-01,Jiji,0.4577419354838711,0.4577419354838711,0.4577419354838711,0.4577419354838711,observed
2004-11-01,Jiji,0.6126666666666668,0.6126666666666668,0.6126666666666668,0.6126666666666668,observed
2004-12-01,Jiji,0.7674193548387095,0.7674193548387095,0.7674193548387095,0.7674193548387095,observed
2005-01-01,Jiji,0.8106451612903227,0.8106451612903227,0.8106451612903227,0.8106451612903227,observed
2005-02-01,Jiji,0.7889285714285713,0.7889285714285713,0.7889285714285713,0.7889285714285713,observed
2005-03-01,Jiji,0.654193548387097,0.654193548387097,0.654193548387097,0.654193548387097,observed
2005-04-01,Jiji,0.6203333333333332,0.6203333333333332,0.6203333333333332,0.6203333333333332,observed
2005-05-01,Jiji,0.7383870967741937,0.7383870967741937,0.7383870967741937,0.7383870967741937,observed
2005-06-01,Jiji,0.5509999999999999,0.5509999999999999,0.5509999999999999,0.5509999999999999,observed
2005-07-01,Jiji,0.5029032258064516,0.5029032258064516,0.5029032258064516,0.5029032258064516,observed
2005-08-01,Jiji,0.41,0.41,0.41,0.41,observed
2005-09-01,Jiji,0.3946666666666666,0.3946666666666666,0.3946666666666666,0.3946666666666666,observed
2005-10-01,Jiji,0.4419354838709676,0.4419354838709676,0.4419354838709676,0.4419354838709676,observed
2005-11-01,Jiji,0.4733333333333334,0.4733333333333334,0.4733333333333334,0.4733333333333334,observed
2005-12-01,Jiji,0.5525806451612902,0.5525806451612902,0.5525806451612902,0.5525806451612902,observed
2006-01-01,Jiji,0.6612903225806451,0.6612903225806451,0.6612903225806451,0.6612903225806451,observed
2006-02-01,Jiji,0.8153571428571429,0.8153571428571429,0.8153571428571429,0.8153571428571429,observed
2006-03-01,Jiji,0.7300000000000001,0.7300000000000001,0.7300000000000001,0.7300000000000001,observed
2006-04-01,Jiji,0.965,0.965,0.965,0.965,observed
2006-05-01,Jiji,1.2238709677419355,1.2238709677419355,1.2238709677419355,1.2238709677419355,observed
2006-06-01,Jiji,0.7806666666666665,0.7806666666666665,0.7806666666666665,0.7806666666666665,observed
2006-07-01,Jiji,0.647741935483871,0.647741935483871,0.647741935483871,0.647741935483871,observed
2006-08-01,Jiji,0.5506451612903226,0.5506451612903226,0.5506451612903226,0.5506451612903226,observed
2006-09-01,Jiji,0.4566666666666667,0.4566666666666667,0.4566666666666667,0.4566666666666667,observed
2006-10-01,Jiji,0.5612903225806453,0.5612903225806453,0.5612903225806453,0.5612903225806453,observed
2006-11-01,Jiji,0.997,0.997,0.997,0.997,observed
2006-12-01,Jiji,1.3087096774193554,1.3087096774193554,1.3087096774193554,1.3087096774193554,observed
2007-01-01,Jiji,1.4303225806451612,1.4303225806451612,1.4303225806451612,1.4303225806451612,observed
2007-02-01,Jiji,1.4371428571428573,1.4371428571428573,1.4371428571428573,1.4371428571428573,observed
