date,river,raw_water_level
2008-12-01,Mpanda,0.9261290322580648
2009-01-01,Mpanda,0.8893548387096775
2009-02-01,Mpanda,0.9182142857142858
2009-03-01,Mpanda,0.9906451612903228
2009-04-01,Mpanda,1.164
2009-05-01,Mpanda,1.3270967741935482
2009-06-01,Mpanda,0.7490000000000001
2009-07-01,Mpanda,0.7216129032258066
2009-08-01,Mpanda,0.767741935483871
2009-09-01,Mpanda,0.6056666666666666
2009-10-01,Mpanda,0.8077419354838711
2009-11-01,Mpanda,0.9133333333333332
2009-12-01,Mpanda,0.9467741935483872
2010-01-01,Mpanda,0.9561290322580648
2010-02-01,Mpanda,1.0314285714285714
2010-03-01,Mpanda,0.9958064516129032
2010-04-01,Mpanda,1.0843333333333334
2010-05-01,Mpanda,0.7893548387096776
2010-06-01,Mpanda,0.656
2010-07-01,Mpanda,0.5693548387096776
2010-08-01,Mpanda,0.6500000000000002
2010-09-01,Mpanda,0.7050000000000001
2010-10-01,Mpanda,0.7293548387096777
2010-11-01,Mpanda,0.8636666666666667
2010-12-01,Mpanda,0.8309677419354838
2011-01-01,Mpanda,1.1612903225806457
2011-02-01,Mpanda,0.8392857142857145
2011-03-01,Mpanda,0.9338709677419356
2011-04-01,Mpanda,0.8953333333333334
2011-05-01,Mpanda,0.8209677419354842
2011-06-01,Mpanda,0.7873333333333333
2011-07-01,Mpanda,0.6993548387096774
2011-08-01,Mpanda,0.7106451612903227
2011-09-01,Mpanda,0.7358620689655173
2011-10-01,Mpanda,0.774516129032258
2011-11-01,Mpanda,1.0053333333333334
2011-12-01,Mpanda,1.278333333333333
2012-01-01,Mpanda,1.3754838709677415
2012-02-01,Mpanda,0.8213793103448275
2012-03-01,Mpanda,0.8793548387096771
2012-04-01,Mpanda,1.0616666666666663
2012-05-01,Mpanda,1.0570967741935482
2012-06-01,Mpanda,0.9333333333333332
2012-07-01,Mpanda,0.6561290322580646
2012-08-01,Mpanda,0.8019354838709677
2012-09-01,Mpanda,0.9143333333333332
2012-10-01,Mpanda,0.921290322580645
2012-11-01,Mpanda,0.9923333333333332
2012-12-01,Mpanda,1.2664516129032255
2013-01-01,Mpanda,1.3258064516129031
2013-02-01,Mpanda,1.0028571428571431
2013-03-01,Mpanda,1.1700000000000004
2013-04-01,Mpanda,1.7566666666666668
2013-05-01,Mpanda,1.4429032258064516
2013-06-01,Mpanda,1.2043333333333337
2013-07-01,Mpanda,1.0951612903225805
2013-08-01,Mpanda,1.1112903225806452
2013-09-01,Mpanda,1.1416666666666666
