location,month_start,t2m_mean_C,d2m_mean_C,tp_sum_mm,msl_mean_hPa,u10_mean,v10_mean
grid_m4.00_29.50,1940-01-01,20.21313591397852,16.555077110215077,434.92794027642,1012.4096606182795,0.038763682231451616,0.17207453285295699
grid_m4.00_29.50,1940-02-01,20.311754137931057,16.97369100574715,485.35990751152,1012.6524011494253,0.06070005383850575,0.3382105552983477
grid_m4.00_29.50,1940-03-01,20.39761103494626,16.937504932795722,415.3959749826,1012.2153718413978,0.15983692376478495,0.2731218027659946
grid_m4.00_29.50,1940-04-01,20.136150708333357,17.42589505555558,531.76426955496,1012.8659945138888,-0.10339592974944445,0.6131788030904167
grid_m4.00_29.50,1940-05-01,20.317565631720452,17.282378965053784,417.70505971468,1013.096323655914,-0.018884883877016128,0.49205166840725806
grid_m4.00_29.50,1940-06-01,20.618666083333355,16.276752013888913,41.737318062359996,1014.9582134027778,0.1438321424075,0.58231499957
grid_m4.00_29.50,1940-07-01,21.03697709677422,14.548650483870992,8.0823898812,1014.915035282258,0.14114615789623655,0.6555745520691666
grid_m4.00_29.50,1940-08-01,21.992784475806474,13.56008538978497,4.49967385268,1013.5567222446236,0.39819354386747313,0.692087643780914
grid_m4.00_29.50,1940-09-01,20.454240486111132,16.63848279166669,529.19864656128,1013.510431875,0.22334872396833333,0.1201541262138889
grid_m4.00_29.50,1940-10-01,20.137495954301098,17.21105596774196,706.41898995334,1013.1469681451613,0.05818038934300269,0.5143387082553763
grid_m4.00_29.50,1940-11-01,19.654416236111132,16.69901430555558,458.30678929998,1012.0591844444444,0.06182883871951389,0.6678368691009722
grid_m4.00_29.50,1940-12-01,20.278060618279593,17.115966962365615,584.77735515166,1012.9902084005377,-0.21840661521586022,0.8509968441026882
grid_m4.00_29.50,1941-01-01,20.48063897849465,16.948268709677443,432.21235286168,1013.7573211021505,-0.03586957844892473,0.45868829022446234
grid_m4.00_29.50,1941-02-01,20.781486279761925,17.665303913690497,492.83385268478,1013.2357044642856,-0.05921170853020833,0.6360609644355952
grid_m4.00_29.50,1941-03-01,21.94002790322583,17.681297056451633,362.34497964718,1012.3719489247312,0.1706627264905914,-0.22909502813966398
grid_m4.00_29.50,1941-04-01,21.066742152777802,17.818037805555576,310.83536112074,1013.3963813194443,0.06142459408638889,0.551827235874861
grid_m4.00_29.50,1941-05-01,20.091090752688196,17.13513052419357,379.44078425358,1014.6661418010752,-0.02616964389044355,0.5144873170784946
grid_m4.00_29.50,1941-06-01,20.740186583333355,16.981084388888913,154.96087057584,1015.9356463888889,0.11416988412097222,0.31447135092713885
grid_m4.00_29.50,1941-07-01,20.258919717741957,15.801010349462388,43.17688923068,1015.8185951612903,0.17600051299633065,0.5554036787553763
grid_m4.00_29.50,1941-08-01,21.18901362903228,15.585686559139809,47.71280254572,1013.8254300403225,0.24323350095752688,0.41510005552137097
grid_m4.00_29.50,1941-09-01,21.787998847222244,15.51898516666669,72.37100635496,1011.9933908333334,0.3528780708839194,0.3780341874097222
grid_m4.00_29.50,1941-10-01,21.7963637231183,16.717561895161314,287.57071527428,1012.3013362903226,0.18688581348266128,0.5096522297469086
grid_m4.00_29.50,1941-11-01,20.09798973611113,16.894247125000025,520.55430383334,1012.4720752777778,0.2456651689047222,0.3753274503690278
grid_m4.00_29.50,1941-12-01,19.97933151881723,16.840844435483895,582.20195780602,1013.6517708333333,-0.050029200363172044,0.6516538471291666
grid_m4.00_29.50,1942-01-01,20.511388252688196,16.940957419354863,590.6276701318,1013.3809534274194,-0.2678912745698925,0.7929878236708333
grid_m4.00_29.50,1942-02-01,21.35511809523812,17.18200992559526,323.00591450238,1010.790985639881,-0.01101696432916667,0.5688121444651786
grid_m4.00_29.50,1942-03-01,20.198113400537657,17.318587661290344,532.38868701922,1011.8774016129032,-0.046990281006317206,0.5866855295252688
grid_m4.00_29.50,1942-04-01,19.839175763888914,17.18829770833336,523.29921707108,1013.3094115972222,-0.1285252469451389,0.7064584748304167
grid_m4.00_29.50,1942-05-01,20.281455725806474,17.018925591397874,284.24549123224,1013.4361173387097,-0.025318412059327954,0.5245790141449301
grid_m4.00_29.50,1942-06-01,20.79743154166669,16.15661268055558,81.30335807164,1013.7894141666667,0.28655681623309304,0.25346157329448615
grid_m4.00_29.50,1942-07-01,19.819908870967765,13.981388750000022,14.93978496706,1014.9079081317203,0.17270508683185484,0.6853190251080645
grid_m4.00_29.50,1942-08-01,21.493887526881746,13.797614341397873,5.47862055974,1012.579990389785,0.27376976809494624,0.5738614406061827
grid_m4.00_29.50,1942-09-01,22.48364170833336,13.273226500000023,11.5513802038,1011.5290749305556,0.42824819401652775,0.7525798363719444
grid_m4.00_29.50,1942-10-01,21.873680215053785,16.426944408602175,293.55859654312,1010.9248460349462,0.341578595991621,0.5300072708889785
